DATE,TIME,LOCATION,LAT,LONG,ID,SPECIES,SEX,SUBSTRATE TYPE,SUBSTRATE TEMP,PERCH HEIGHT (cm),PERCH WIDTH (cm),WEIGHT (g),SVL (mm),OTHER SP. PRESENT,NOTES
4/23/2019,13:23,Micosukee Golf Course,25.70753,-80.42919,BV047,Basilisk,F,tree stump,,,,16.56,85.35,,
4/25/2019,12:30,William Randolph,25.55510,-80.38379,BV048,Basilisk,F,grass,,,,50.08,119.41,,
4/25/2019,14:00,Old Cutler Canal (south),25.55901,-80.35938692,BV049,Basilisk,F,Bush trunk,,,,41.62,112.83,,
5/4/2019,12:35,Canal 111 near ENP,25.40767,-80.52364,BV050,Basilisk,F,Leaf litter underneath low trees,,0,,,,,Madison caught
7/3/2019,9:30,Fuch's Park,25.69421,-80.29701,BV051,Basilisk,F,ground,,,,,,,Leyna
7/3/2019,10:12,Thalatta estate park,25.61005,-80.30936,BV052,Basilisk,M,wood chips,,,,,,,Leyna
7/3/2019,11:48,Homestead Bayfront county park,25.46197,-80.33669,BV053,Basilisk,M,sand,,,,,,,Jaclyn
7/3/2019,12:14,Canal near BNP,25.46312,-80.34657,BV054,Basilisk,F,tree branch,,,,,,,Jaclyn/Julian
7/5/2019,11:07,Amelia Earhart,25.88334,-80.27086,BV055,Basilisk,F,tree branch,,,,45.3,124.2,,"Matt caught, Leyna Entered"
7/5/2019,12:59,Greynolds Park,25.93971,-80.15319,BV056,Basilisk,F,tree branch,,,,41.32,123.9,,"Jacyln, Leyna entered"
7/16/2019,11:30,Homestead Sports Complex,25.45177,-80.42557,BV057,Basilisk,F,rock,,,,33.99,107.1,,Jaclyn
7/16/2019,1:20,Vizcaya,25.74328,-80.21112,BV058,Basilisk,Juv,Limestone fountain,,,,3.35,51.3,,Jaclyn
7/22/2019,10:03,Miccosukee Golf Course,25.70971,-80.42108,BV059,Basilisk,M,Rock,,,,107.97,147.1,,Matt caught
7/23/2019,10:29,SW 107th canal,25.60856,-80.51236,BV060,Basilisk,M,Limestone rock,,,,129.28,157.1,,Leyna caught
7/24/2019,10:16,130th Canal,25.63485,-80.49743,BV061,Basilisk,Juv (F?),Limestone rock,,,,48.22,118.5,,Matt caught
9/12/2019,23:14,,25.51864,-80.34729,BV062,Basilisk,M,plant,,,,12.3,76.86,,
9/12/2019,20:45,,25.48978,-80.34914,BV063,Basilisk,Juv,metal fence,,,,1.39,38.9,,BV063:BV070 same site
7/5/2019,11:25,Canal,25.40778,-80.52367,BV071,Basilisk,Juv,"Ground, leaves/rocks",,,,,,,
7/5/2019,12:30,Canal,25.28977,-80.44535,BV072,Basilisk,F,leaf litter,,,,,,,
7/19/2019,10:05,Canal,25.40407,-80.5587,BV074,Basilisk,F,Large rock,,,,,,,
,,Zoo Miami,25.60451,-80.39698,BV075,Basilisk,F,,,,,,,,Basilisk from Steven
